,nome,nota,diretor,ano,duracao,elenco
0,Um Sonho de Liberdade,9.3,Frank Darabont,1994,2h 22m,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']"
1,O Poderoso Chefão,9.2,Francis Ford Coppola,1972,2h 55m,"['Marlon Brando', 'Al Pacino', 'James Caan']"
2,Batman: O Cavaleiro das Trevas,9.0,Christopher Nolan,2008,2h 32m,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']"
3,O Poderoso Chefão II,9.0,Francis Ford Coppola,1974,3h 22m,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']"
4,12 Homens e uma Sentença,9.0,Sidney Lumet,1957,1h 36m,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']"
5,A Lista de Schindler,9.0,Steven Spielberg,1993,3h 15m,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']"
6,O Senhor dos Anéis: O Retorno do Rei,9.0,Peter Jackson,2003,3h 21m,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']"
7,Pulp Fiction: Tempo de Violência,8.9,Quentin Tarantino,1994,2h 34m,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']"
8,O Senhor dos Anéis: A Sociedade do Anel,8.8,Peter Jackson,2001,2h 58m,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']"
9,Três Homens em Conflito,8.8,Sergio Leone,1966,2h 41m,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']"
10,Forrest Gump: O Contador de Histórias,8.8,Robert Zemeckis,1994,2h 22m,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']"
11,Clube da Luta,8.8,David Fincher,1999,2h 19m,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']"
12,A Origem,8.8,Christopher Nolan,2010,2h 28m,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']"
13,O Senhor dos Anéis: As Duas Torres,8.8,Peter Jackson,2002,2h 59m,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']"
14,O Império Contra-Ataca,8.7,Irvin Kershner,1980,2h 4m,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
15,Matrix,8.7,Lana Wachowski,1999,2h 16m,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']"
16,Os Bons Companheiros,8.7,Martin Scorsese,1990,2h 25m,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']"
17,Um Estranho no Ninho,8.7,Milos Forman,1975,2h 13m,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']"
18,Seven: Os Sete Crimes Capitais,8.6,David Fincher,1995,2h 7m,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']"
19,Os Sete Samurais,8.6,Akira Kurosawa,1954,3h 27m,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']"
20,A Felicidade Não se Compra,8.6,Frank Capra,1946,2h 10m,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']"
21,O Silêncio dos Inocentes,8.6,Jonathan Demme,1991,1h 58m,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']"
22,Cidade de Deus,8.6,Fernando Meirelles,2002,2h 10m,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']"
23,O Resgate do Soldado Ryan,8.6,Steven Spielberg,1998,2h 49m,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']"
24,A Vida é Bela,8.6,Roberto Benigni,1997,1h 56m,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']"
25,À Espera de um Milagre,8.6,Frank Darabont,1999,3h 9m,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']"
26,Guerra nas Estrelas,8.6,George Lucas,1977,2h 1m,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
27,Interestelar,8.6,Christopher Nolan,2014,2h 49m,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']"
28,O Exterminador do Futuro 2 - O Julgamento Final,8.6,James Cameron,1991,2h 17m,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
29,De Volta para o Futuro,8.5,Robert Zemeckis,1985,1h 56m,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
30,A Viagem de Chihiro,8.6,Hayao Miyazaki,2001,2h 5m,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']"
31,Psicose,8.5,Alfred Hitchcock,1960,1h 49m,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']"
32,O Pianista,8.5,Roman Polanski,2002,2h 30m,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']"
33,O Profissional,8.5,Luc Besson,1994,1h 50m,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']"
34,Parasita,8.5,Bong Joon Ho,2019,2h 12m,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Cho']"
35,O Rei Leão,8.5,Roger Allers,1994,1h 28m,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']"
36,Gladiador,8.5,Ridley Scott,2000,2h 35m,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']"
37,A Outra História Americana,8.5,Tony Kaye,1998,1h 59m,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]"
38,Os Suspeitos,8.5,Bryan Singer,1995,1h 46m,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']"
39,Os Infiltrados,8.5,Martin Scorsese,2006,2h 31m,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']"
40,O Grande Truque,8.5,Christopher Nolan,2006,2h 10m,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']"
41,Casablanca,8.5,Michael Curtiz,1942,1h 42m,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']"
42,Whiplash: Em Busca da Perfeição,8.5,Damien Chazelle,2014,1h 46m,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']"
43,Intocáveis,8.5,Olivier Nakache,2011,1h 52m,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']"
44,Tempos Modernos,8.5,Charles Chaplin,1936,1h 27m,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']"
45,Harakiri,8.6,Masaki Kobayashi,1962,2h 13m,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']"
46,Era uma Vez no Oeste,8.5,Sergio Leone,1968,2h 45m,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']"
47,Túmulo dos Vagalumes,8.5,Isao Takahata,1988,1h 29m,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']"
48,Janela Indiscreta,8.5,Alfred Hitchcock,1954,1h 52m,"['James Stewart', 'Grace Kelly', 'Wendell Corey']"
49,Alien - O 8º Passageiro,8.5,Ridley Scott,1979,1h 57m,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']"
50,Luzes da Cidade,8.5,Charles Chaplin,1931,1h 27m,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']"
51,Cinema Paradiso,8.5,Giuseppe Tornatore,1988,2h 35m,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']"
52,Amnésia,8.4,Christopher Nolan,2000,1h 53m,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']"
53,Apocalypse Now,8.5,Francis Ford Coppola,1979,2h 27m,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']"
54,Os Caçadores da Arca Perdida,8.4,Steven Spielberg,1981,1h 55m,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']"
55,Django Livre,8.4,Quentin Tarantino,2012,2h 45m,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']"
56,Tudo em Todo Lugar ao Mesmo Tempo,8.6,Dan Kwan,2022,2h 19m,"['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']"
57,WALL·E,8.4,Andrew Stanton,2008,1h 38m,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']"
58,A Vida dos Outros,8.4,Florian Henckel von Donnersmarck,2006,2h 17m,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']"
59,Crepúsculo dos Deuses,8.4,Billy Wilder,1950,1h 50m,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']"
60,Glória Feita de Sangue,8.4,Stanley Kubrick,1957,1h 28m,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']"
61,O Iluminado,8.4,Stanley Kubrick,1980,2h 26m,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']"
62,O Grande Ditador,8.4,Charles Chaplin,1940,2h 5m,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']"
63,Testemunha de Acusação,8.4,Billy Wilder,1957,1h 56m,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']"
64,Vingadores: Guerra Infinita,8.4,Anthony Russo,2018,2h 29m,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
65,"Aliens, O Resgate",8.4,James Cameron,1986,2h 17m,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']"
66,Beleza Americana,8.4,Sam Mendes,1999,2h 2m,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']"
67,Dr. Fantástico,8.4,Stanley Kubrick,1964,1h 35m,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']"
68,Batman: O Cavaleiro das Trevas Ressurge,8.4,Christopher Nolan,2012,2h 44m,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']"
69,Homem-Aranha no Aranhaverso,8.4,Bob Persichetti,2018,1h 57m,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']"
70,Coringa,8.4,Todd Phillips,2019,2h 2m,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']"
71,Oldboy,8.4,Park Chan-wook,2003,2h,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong']"
72,Coração Valente,8.4,Mel Gibson,1995,2h 58m,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']"
73,Amadeus,8.4,Milos Forman,1984,2h 40m,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']"
74,Toy Story,8.3,John Lasseter,1995,1h 21m,"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
75,Viva: A Vida é uma Festa,8.4,Lee Unkrich,2017,1h 45m,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']"
76,O Barco: Inferno no Mar,8.4,Wolfgang Petersen,1981,2h 29m,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']"
77,Bastardos Inglórios,8.3,Quentin Tarantino,2009,2h 33m,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']"
78,Princesa Mononoke,8.4,Hayao Miyazaki,1997,2h 14m,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']"
79,Era uma Vez na América,8.3,Sergio Leone,1984,3h 49m,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']"
80,Vingadores: Ultimato,8.4,Anthony Russo,2019,3h 1m,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
81,Gênio Indomável,8.3,Gus Van Sant,1997,2h 6m,"['Robin Williams', 'Matt Damon', 'Ben Affleck']"
82,Réquiem para um Sonho,8.3,Darren Aronofsky,2000,1h 42m,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']"
83,Toy Story 3,8.3,Lee Unkrich,2010,1h 43m,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
84,Cantando na Chuva,8.3,Stanley Donen,1952,1h 43m,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']"
85,Your Name.,8.4,Makoto Shinkai,2016,1h 46m,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita']"
86,3 Idiotas,8.4,Rajkumar Hirani,2009,2h 50m,"['Aamir Khan', 'Madhavan', 'Mona Singh']"
87,"Star Wars, Episódio VI: O Retorno do Jedi",8.3,Richard Marquand,1983,2h 11m,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
88,2001: Uma Odisséia no Espaço,8.3,Stanley Kubrick,1968,2h 29m,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
89,Cães de Aluguel,8.3,Quentin Tarantino,1992,1h 39m,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']"
90,Brilho Eterno de uma Mente sem Lembranças,8.3,Michel Gondry,2004,1h 48m,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']"
91,Céu E Inferno,8.4,Akira Kurosawa,1963,2h 23m,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']"
92,Cidadão Kane,8.3,Orson Welles,1941,1h 59m,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']"
93,Cafarnaum,8.4,Nadine Labaki,2018,2h 6m,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']"
94,Lawrence da Arábia,8.3,David Lean,1962,3h 38m,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']"
95,"M, o Vampiro de Dusseldorf",8.3,Fritz Lang,1931,1h 57m,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']"
96,A Caça,8.3,Thomas Vinterberg,2012,1h 55m,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']"
97,Intriga Internacional,8.3,Alfred Hitchcock,1959,2h 16m,"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
98,Um Corpo que Cai,8.3,Alfred Hitchcock,1958,2h 8m,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
99,O Fabuloso Destino de Amélie Poulain,8.3,Jean-Pierre Jeunet,2001,2h 2m,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']"
100,Laranja Mecânica,8.3,Stanley Kubrick,1971,2h 16m,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
101,Vá e Veja,8.4,Elem Klimov,1985,2h 22m,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']"
102,Nascido para Matar,8.3,Stanley Kubrick,1987,1h 56m,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]"
103,Pacto de Sangue,8.3,Billy Wilder,1944,1h 47m,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']"
104,Se Meu Apartamento Falasse,8.3,Billy Wilder,1960,2h 5m,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
105,Scarface,8.3,Brian De Palma,1983,2h 50m,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']"
106,Homem-Aranha: Sem Volta para Casa,8.4,Jon Watts,2021,2h 28m,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']"
107,O Sol é para Todos,8.3,Robert Mulligan,1962,2h 9m,"['Gregory Peck', 'John Megna', 'Frank Overton']"
108,Viver,8.3,Akira Kurosawa,1952,2h 23m,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]"
109,Taxi Driver: Motorista de Táxi,8.2,Martin Scorsese,1976,1h 54m,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']"
110,Golpe de Mestre,8.3,George Roy Hill,1973,2h 9m,"['Paul Newman', 'Robert Redford', 'Robert Shaw']"
111,Los Angeles: Cidade Proibida,8.2,Curtis Hanson,1997,2h 18m,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']"
112,Hamilton,8.4,Thomas Kail,2020,2h 40m,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']"
113,Up: Altas Aventuras,8.3,Pete Docter,2009,1h 36m,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']"
114,Fogo Contra Fogo,8.3,Michael Mann,1995,2h 50m,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
115,Metrópolis,8.3,Fritz Lang,1927,2h 33m,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']"
116,Snatch: Porcos e Diamantes,8.3,Guy Ritchie,2000,1h 44m,"['Jason Statham', 'Brad Pitt', 'Stephen Graham']"
117,A Separação,8.3,Asghar Farhadi,2011,2h 3m,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']"
118,Duro de Matar,8.2,John McTiernan,1988,2h 12m,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']"
119,Incêndios,8.3,Denis Villeneuve,2010,2h 11m,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']"
120,Indiana Jones e a Última Cruzada,8.2,Steven Spielberg,1989,2h 7m,"['Harrison Ford', 'Sean Connery', 'Alison Doody']"
121,Ladrões de Bicicletas,8.3,Vittorio De Sica,1948,1h 29m,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']"
122,1917,8.2,Sam Mendes,2019,1h 59m,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']"
123,Como Estrelas na Terra,8.3,Aamir Khan,2007,2h 45m,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']"
